Time,Total Consumption,Total Production,Token Balance,P2P Price,Grid Price,Purchase Price,Energy Deficit,Energy Surplus,Storage Level S1,Storage Level S2
2023-06-01 00:00,4.88,0.0,97.56,0.5,0.2,0.4,4.88,0.0,0.0,0.0
2023-06-01 01:00,4.87,0.0,95.22240000000001,0.5,0.18,0.38,4.87,0.0,0.0,0.0
2023-06-01 02:00,5.919999999999999,0.0,92.49920000000002,0.5,0.18,0.36,5.919999999999999,0.0,0.0,0.0
2023-06-01 03:00,4.54,0.38,90.66880000000002,0.5,0.17,0.34,4.16,0.0,0.0,0.0
2023-06-01 04:00,5.959999999999999,2.04,88.90480000000002,0.5,0.17,0.35,3.919999999999999,0.0,0.0,0.0
2023-06-01 05:00,4.25,5.04,89.29980000000002,0.5,0.18,0.38,0.0,0.0,0.79,0.0
2023-06-01 06:00,4.65,8.08,91.01480000000002,0.5,0.22,0.45,0.0,0.0,4.22,0.0
2023-06-01 07:00,9.16,10.1,91.48480000000002,0.5,0.3,0.6,0.0,0.0,5.159999999999999,0.0
2023-06-01 08:00,9.03,14.82,94.37980000000002,0.5,0.35,0.75,0.0,0.0,10.0,0.9500000000000002
2023-06-01 09:00,9.469999999999999,14.92,97.10480000000001,0.5,0.4,0.7,0.0,0.0,10.0,6.400000000000001
2023-06-01 10:00,7.91,17.4,101.84980000000002,0.5,0.42,0.55,0.0,0.0,10.0,15.89
2023-06-01 11:00,10.17,18.56,106.25880000000002,0.5,0.45,0.5,0.0,4.279999999999999,5.720000000000001,20.0
2023-06-01 12:00,9.330000000000002,21.7,112.92920000000002,0.5,0.46,0.48,0.0,8.089999999999998,1.910000000000002,20.0
2023-06-01 13:00,10.09,20.7,118.36020000000002,0.5,0.45,0.46,0.0,2.5200000000000014,7.479999999999999,20.0
2023-06-01 14:00,8.44,17.44,123.11940000000003,0.5,0.44,0.47,0.0,6.48,3.5199999999999996,20.0
2023-06-01 15:00,9.7,16.4,126.46940000000002,0.5,0.4,0.52,0.0,0.21999999999999886,9.780000000000001,20.0
